Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen
"15003";"Magdeburg, Stadt";"kreisfreie Stadt";"1.552,90"
"15081";"Altmarkkreis Salzwedel";"Landkreis";"1.654,29"
"15082";"Anhalt-Bitterfeld";"Landkreis";"1.619,58"
"15083";"Börde";"Landkreis";"1.709,49"
"15084";"Burgenlandkreis";"Landkreis";"1.608,98"
"15085";"Harz";"Landkreis";"1.632,21"
"15086";"Jerichower Land";"Landkreis";"1.697,31"
"15087";"Mansfeld-Südharz";"Landkreis";"1.565,89"
"15088";"Saalekreis";"Landkreis";"1.698,92"
"15089";"Salzlandkreis";"Landkreis";"1.577,71"
"15090";"Stendal";"Landkreis";"1.568,21"
"15091";"Wittenberg";"Landkreis";"1.667,34"
"16051";"Erfurt, Stadt";"kreisfreie Stadt";"1.586,74"
"16052";"Gera, Stadt";"kreisfreie Stadt";"1.593,26"
"16053";"Jena, Stadt";"kreisfreie Stadt";"1.567,28"
"16054";"Suhl, Stadt";"kreisfreie Stadt";"1.654,33"
"16055";"Weimar, Stadt";"kreisfreie Stadt";"1.572,18"
"16056";"Eisenach, Stadt";"kreisfreie Stadt";"1.600,00"
"16061";"Eichsfeld";"Landkreis";"1.649,03"
"16062";"Nordhausen";"Landkreis";"1.542,64"
"16063";"Wartburgkreis";"Landkreis";"1.757,66"
"16064";"Unstrut-Hainich-Kreis";"Landkreis";"1.557,08"
"16065";"Kyffhäuserkreis";"Landkreis";"1.520,15"
"16066";"Schmalkalden-Meiningen";"Landkreis";"1.637,70"
"16067";"Gotha";"Landkreis";"1.603,05"
"16068";"Sömmerda";"Landkreis";"1.591,68"
"16069";"Hildburghausen";"Landkreis";"1.674,15"
"16070";"Ilm-Kreis";"Landkreis";"1.624,29"
"16071";"Weimarer Land";"Landkreis";"1.624,91"
"16072";"Sonneberg";"Landkreis";"1.627,75"
"16073";"Saalfeld-Rudolstadt";"Landkreis";"1.675,52"
"16074";"Saale-Holzland-Kreis";"Landkreis";"1.654,15"
"16075";"Saale-Orla-Kreis";"Landkreis";"1.626,09"
"16076";"Greiz";"Landkreis";"1.665,67"
"16077";"Altenburger Land";"Landkreis";"1.622,70"
